方向,fāngxiàng,direction
苦,kǔ,bitter
仔细,zǐxì,careful
可惜,kěxī,unfortunately
平时,píngshí,average
厨房,chúfáng,Kitchen
香,xiāng,fragrant
文章,wénzhāng,Article
修理 ,xiūlǐ,repair
长江,chángjiāng,The Yangtze River
商量,shāngliang,discuss
受到,shòudào,Suffer
工资,gōngzī,wages
抱,bào,Hold
因此,yīncǐ,therefore
既然,jìrán,although
笨,bèn,stupid
正常,zhèngcháng,normal
态度,tàidu,attitude
国籍,guójí,nationality
激动,jīdòng,Excited
性格,xìnggé,character
坚持,jiānchí,Insist
交,jiāo,hand over
仍然,réngrán,still
精彩,jīngcǎi,Marvellous
护士,hùshi,Nurse
亲戚,qīnqi,Relative
记者,jìzhě,Reporter
积极,jījí,positive
养成,yǎngchéng,Cultivate
旅行,lǚxíng,travel
报名,bàomíng,sign up
西红柿,xīhóngshì,Tomato
鼓励,gǔlì,encourage
信封,xìnfēng,envelope
允许,yǔnxǔ,allow
申请,shēnqǐng,Apply
深,shēn,deep
误会,wùhuì,Misunderstanding
任务,rènwu,task
法律,fǎlǜ,Law
也许,yěxǔ,perhaps
理想,lǐxiǎng,ideal
接受,jiēshòu,accept
森林,sēnlín,Forest
顺利,shùnlì,smoothly
及时,jíshí,timely
估计,gūjì,estimate
感动,gǎndòng,Be moved
阳光,yángguāng,Sunshine
骄傲,jiāo’ào,Proud
懒,lǎn,lazy
谈,tán,talk
桥,qiáo,Bridge
无,wú,nothing
力气,lìqi,Strength
信心,xìnxīn,confidence
建议,jiànyì,proposal
互相,hùxiāng,each other
流利,liúlì,fluent
响,xiǎng,ring
份,fèn,share (measure word)
困难,kùnnan,difficulty
对面,duìmiàn,Opposite side
打折,dǎzhé,Discount
而,ér,and
打扮,dǎban,dress up
骗,piàn,fool
语法,yǔfǎ,grammar
拒绝,jùjué,refuse
实际,shíjì,Actual
光,guāng,light
浪漫,làngmàn,romantic
至少,zhìshǎo,at least
顾客,gùkè,customer
家具,jiājù,furniture
广播,guǎngbō,Radio broadcast
烤鸭,kǎoyā,Roasted Duck
羽毛球,yǔmáoqiú,Badminton
进行,jìnxíng,in process of
密码,mìmǎ,Password
成为,chéngwéi,Become
毕业,bìyè,graduation
导游,dǎoyóu,Guide
理发,lǐfà,Haircut
减肥,jiǎnféi,Reduce weight
租,zū,rent
寒假,hánjià,The winter vacation
与,yǔ,and
心情,xīnqíng,mood
即使,jíshǐ,even if
取,qǔ,take
现金,xiànjīn,cash
出现,chūxiàn,Appear
乘坐,chéngzuò,ride
由于,yóuyú,Because
怀疑,huáiyí,doubt
否则,fǒuzé,otherwise
证明,zhèngmíng,Prove
