睡觉,shuìjiào,sleep
打电话,dǎdiànhuà,make phone call
做,zuò,do
买,mǎi,buy
开,kāi,open
坐,zuò,sit
住,zhù,live
学习,xuéxí,study
工作,gōngzuò,work
下雨,xiàyǔ,rain
爱,ài,love
喜欢,xǐhuān,"love, like"
想,xiǎng,want
认识,rènshi,know
会,huì,can
能,néng,"can, be able to"
好,hǎo,good
大,dà,big
小,xiǎo,small
多,duō,"many, much"
少,shǎo,"few, little"
冷,lěng,cold
热,rè,hot
高兴,gāoxìng,happy
漂亮,piàoliang,beautiful
希望,xīwàng,hope
可以,kěyǐ,can
要,yào,want
可能,kěnéng,may
高,gāo,tall
红,hóng,red
白,bái,white
黑,hēi,black
忙,máng,busy
快,kuài,fast
慢,màn,slow
远,yuǎn,far
近,jìn,close
好吃,hǎochī,delicious
累,lèi,tired
长,cháng,long
新,xīn,new
贵,guì,expensive
便宜,piányi,cheap
晴,qíng,fine
阴,yīn,cloudy
错,cuò,wrong
快乐,kuàilè,happy
对,duì,to
对,duì,right
选择,xuǎnzé,Choice
要求,yāoqiú,Requirement
爷爷,yéye,grandpa
一定,yídìng,Certain
一共,yígòng,Altogether
一会儿,yíhuìr,a while
一样,yíyàng,equally
以前,yǐqián,before
一般,yìbān,commonly
一边,yìbiān,One side
一直,yìzhí,always
音乐,yīnyuè,Music
银行,yínháng,Bank
饮料,yǐnliào,Drinks
应该,yīnggāi,Should
影响,yǐngxiǎng,Influence
用,yòng,use
游戏,yóuxì,Game
有名,yǒumíng,Famous
又,yòu,again
遇到,yùdào,encounter
元,yuán,element; yuan
愿意,yuànyì,Be willing
月亮,yuèliang,Moon
越,yuè,the more
站,zhàn,station
张,zhāng,Zhang (surname)
长（动词）,zhǎng,grow
着急,zháojí,Worry
照顾,zhàogù,look after
照片,zhàopiàn,Photo
照相机,zhàoxiàngjī,Camera
只（量词）,zhī,(measure word)
只（副词）,zhǐ,only
只有……才……,zhǐyǒu…cái…,only if
中文,zhōngwén,Chinese
中间,zhōngjiān,Middle
终于,zhōngyú,finally
种,zhǒng,species
重要,zhòngyào,important
周末,zhōumò,Weekend
主要,zhǔyào,main
注意,zhùyì,Be careful
自己,zìjǐ,"Own, self"
自行车,zìxíngchē,Bicycle
总是,zǒngshì,always
嘴,zuǐ,mouth
最后,zuìhòu,Last
最近,zuìjìn,lately
作业,zuòyè,homework
