拼写, pīn xiě, spell 
发音, fā yīn, pronunciation
单词 , dān cí, word
样 , yàng, appearance
一种, yī zhǒng, a kind of; a type of
字母, zì mǔ, letter (of the alphabet)
念, niàn, to read aloud; to study
其实, qí shí, actually; in fact
偏旁, piān páng, radical (of a Chinese character)
看出, kàn chū, to see; to find out
声音, shēng yīn, sound; voice
注意, zhù yì, to pay attention to; to take notice of
声调, shēng diào, tone 
字音, zì yīn, pronunciation of a character
句子, jù zi, sentence
例如, lì rú, for example; for instance
排列, pái liè, to arrange; to line up
软件, ruǎn jiàn, software
输入, shū rù, to input; to enter (data)
文章, wén zhāng, article; essay
暑假, shǔ jià, summer vacation
完全, wán quán, complete; whole; entire
比划, bǐ huà, stroke (of a Chinese character)
比方, bǐ fāng, for example; for instance
回答, huí dá, to answer; to reply
答案, dá àn, answer; solution
嘿, hēi, hey; hi
点头, diǎn tóu, to nod; to bow
摇头, yáo tóu, to shake one's head
办法, bàn fǎ, method; way; means
贵, guì, expensive; valuable; noble
成绩, chéng jì, achievement; performance; result
抄写, chāo xiě, to copy; to transcribe







