主意,zhǔyi,idea
甚至,shènzhì,Even to the extent that
盒子,hézi,Box
负责,fùzé,Be responsible for
超过,chāoguò,Exceed
能力,nénglì,ability
丢,diū,lose
底,dǐ,bottom
海洋,hǎiyáng,ocean
号码,hàomǎ,number
父亲,fùqīn,father
继续,jìxù,Continue
本来,běnlái,originally
棵,kē,Tree (measure word)
千万,qiānwàn,Must
技术,jìshù,technology
弹钢琴,tángāngqín,Play the piano
敲,qiāo,knock
严格,yángé,strict
拉,lā,pull
填空,tiánkòng,Fill in the blanks
幸福,xìngfú,happiness
社会,shèhuì,society
成功,chénggōng,Success
奖金,jiǎngjīn,bonus
反对,fǎnduì,Opposition
排列,páiliè,array
地址,dìzhǐ,address
勇敢,yǒnggǎn,Brave
矿泉水,kuàngquánshuǐ,Mineral water
标准,biāozhǔn,standard
随着,suízhe,along with
躺,tǎng,lie
咳嗽,késou,cough
作者,zuòzhě,author
毛巾,máojīn,Towel
危险,wēixiǎn,danger
约会,yuēhuì,Date
尽管,jǐnguǎn,although
相反,xiāngfǎn,Contrary
俩,liǎ,Two
获得,huòdé,Get
咸,xián,salty
互联网 ,hùliánwǎng,Internet
往往,wǎngwǎng,Often
空,kōng,empty
受不了,shòubuliǎo,Cannot bear sth
散步,sànbù,Take a walk
信息,xìnxī,information
应聘,yìngpìn,Apply for
有趣,yǒuqù,interesting
儿童,értóng,children
死,sǐ,die
放松,fàngsōng,Relax
语言,yǔyán,language
感觉,gǎnjué,feel
大概,dàgài,Probably
橡皮,xiàngpí,rubber
错误,cuòwù,error
可是,kěshì,however
国际,guójì,international
规定,guīdìng,Regulations
提供,tígōng,provide
严重,yánzhòng,serious
塑料袋,sùliàodài,Plastic bag
恐怕,kǒngpà,I’m afraid
味道,wèidào,taste
辣,là,spicy
原谅,yuánliàng,Forgive
回忆,huíyì,Memory
教授,jiàoshòu,professor
表示,biǎoshì,Express
垃圾桶,lājītǒng,Trash
汗,hàn,sweat
翻译,fānyì,translate
观众,guānzhòng,Audience
紧张,jǐnzhāng,Nervous
厚,hòu,thick
亚洲,yàzhōu,Asia
详细,xiángxì,detailed
不过,búguò,However
功夫,gōngfu,Kungfu 
安全,ānquán,security
批评,pīpíng,criticism
知识,zhīshi,knowledge
牙膏,yágāo,toothpaste
经验,jīngyàn,experience
生活,shēnghuó,Life
景色,jǐngsè,scenery
爱情,àiqíng,Love
整理,zhěnglǐ,Arrangement
词语,cíyǔ,"terms, words"
邮局,yóujú,Post Office
最好,zuìhǎo,Best
植物,zhíwù,"Botany, plant"
以为,yǐwéi,Think
一切,yíqiè,everything
只好,zhǐhǎo,have to
戴,dài,wear
接着,jiēzhe,Next
