加班,jiābān,overtime work
律师,lǜshī,Lawyer
使,shǐ,make
当,dāng,When
售货员,shòuhuòyuán,Salesperson
质量,zhìliàng,quality
饺子,jiǎozi,Dumplings
冷静,lěngjìng,calm down
寄,jì,send
许多,xǔduō,many
保证,bǎozhèng,ensure
火,huǒ,fire
考虑,kǎolǜ,Consider
世纪,shìjì,century
留,liú,stay
房东,fángdōng,landlord
举行,jǔxíng,hold
羡慕,xiànmù,Envy
害羞,hàixiū,Shy
发展,fāzhǎn,Development
招聘,zhāopìn,recruit
开玩笑,kāiwánxiào,Make fun of
友好,yǒuhǎo,friendly
京剧,jīngjù,Beijing opera
麻烦,máfan,trouble
按照,ànzhào,according to
永远,yǒngyuǎn,forever
完全,wánquán,completely
尊重,zūnzhòng,respect
符合,fúhé,to meet
联系,liánxì,contact
特点,tèdiǎn,Characteristic
吃惊,chījīng,Be amazed
长城,chángchéng,The Great Wall
重,zhòng,heavy
擦,cā,wipe
准确,zhǔnquè,accuracy
表扬,biǎoyáng,Praise
通过,tōngguò,through
活泼,huópō,lively
页,yè,page
收,shōu,collect
后悔,hòuhuǐ,regret
活动,huódòng,activity
流行,liúxíng,Popular
卫生间,wèishēngjiān,toilet
优点,yōudiǎn,Advantage
出发,chūfā,Set out
合格,hégé,qualified
广告,guǎnggào,Advertisement
于是,yúshì,Therefore
凉快,liángkuai,Pleasantly cool
缺少,quēshǎo,Lack
部分,bùfen,Part
相同,xiāngtóng,identical
区别,qūbié,Difference
勺子,sháozi,Spoon
正好,zhènghǎo,Just right
气候,qìhòu,climate
零钱,língqián,Small change
干,gān,dry
竟然,jìngrán,Unexpectedly
抱歉,bàoqiàn,feel sorry
篇,piān,piece
对于,duìyú,about
速度,sùdù,speed
来自,láizì,Come from
教育,jiàoyù,education
过程,guòchéng,process
难受,nánshòu,Uncomfortable
年龄,niánlíng,Age
皮肤,pífū,skin
合适,héshì,appropriate
云,yún,cloud
看法,kànfǎ,view
顺序,shùnxù,order
胳膊,gēbo,Arm
小说,xiǎoshuō,Novel
效果,xiàoguǒ,Effect
并且,bìngqiě,also
禁止,jìnzhǐ,prohibit
低,dī,low
不得不,bùdébù,have to
各,gè,various
准时,zhǔnshí,on time
马虎,mǎhu,Careless
顺便,shùnbiàn,Incidentally
解释,jiěshì,explain
输,shū,"lose, fail"
钥匙,yàoshi,Key
预习,yùxí,Preview
然而,rán’ér,however
得（助动词）,děi,have to
首先,shǒuxiān,First
饼干,bǐnggān,Biscuits
连,lián,even
全部,quánbù,whole
警察,jǐngchá,Policeman
通知,tōngzhī,inform/announcment
叶子,yèzi,Leaf
