上,shàng,up
下,xià,down
前面,qiánmiàn,front
后面,hòumiàn,behind
里面,lǐmiàn,inside
今天,jīntiān,today
明天,míngtiān,tomorrow
昨天,zuótiān,yesterday
上午,shàngwǔ,morning
中午,zhōngwǔ,noon
下午,xiàwǔ,afternoon
年,nián,year
月,yuè,month
号,hào,number/date
星期,xīngqī,week
点,diǎn,o’clock
分钟,fēnzhōng,minute
现在,xiànzài,now
时候,shíhou,time
爸爸,bàba,father
妈妈,māma,mother
儿子,érzi,son
女儿,nǚér,daughter
老师,lǎoshī,teacher
学生,xuéshēng,student
姐姐,jiějie,older sister
弟弟,dìdi,younger brother
妹妹,mèimei,younger sister
丈夫,zhàngfu,husband
妻子,qīzi,wife
孩子,háizi,child
男人,nánrén,man
女人,nǚrén,woman
服务员,fúwùyuán,waiter
鱼,yú,fish
羊肉,yángròu,mutton
牛奶,niúnǎi,milk
鸡蛋,jīdàn,egg
西瓜,xīguā,watermelon
咖啡,kāfēi,coffee
雪,xuě,snow
药,yào,medicine
手机,shǒujī,cellphone
手表,shǒubiǎo,watch
眼睛,yǎnjīng,eye
身体,shēntǐ,body
公共汽车,gōnggòngqìchē,bus
报纸,bàozhǐ,newspaper
门,mén,door
题,tí,"topic, item"
还（动词）,huán,Return
环境,huánjìng,Environment
换,huàn,change
黄河,huánghé,Yellow River
回答,huídá,Answer
会议,huìyì,Meeting
或者,huòzhě,perhaps
几乎,jīhū,almost
机会,jīhuì,Opportunity
极,jí,extremely
记得,jìde,remember
季节,jìjié,Season
检查,jiǎnchá,inspect
简单,jiǎndān,simple
健康,jiànkāng,Healthy
见面,jiànmiàn,meet
讲,jiǎng,speak
教,jiāo,teach
角,jiǎo,horn
脚,jiǎo,foot
接,jiē,"pick,get"
街道,jiēdào,Street
结婚,jiéhūn,marry
结束,jiéshù,End
节目,jiémù,program
节日,jiérì,festival
解决,jiějué,Solve
借,jiè,borrow
经常,jīngcháng,Often
经过,jīngguò,"After, through"
经理,jīnglǐ,manager
久,jiǔ,long
旧,jiù,"old,used"
句子,jùzi,sentence
决定,juédìng,Decision
渴,kě,thirsty
可爱,kě’ài,Lovely
刻,kè,moment
客人,kèrén,Guest
空调,kōngtiáo,Air conditioner
口,kǒu,mouth
哭,kū,cry
裤子,kùzi,trousers
筷子,kuàizi,chopsticks
蓝,lán,blue
老,lǎo,old
离开,líkāi,leave
礼物,lǐwù,gift
历史,lìshǐ,History
脸,liǎn,face
