陪,péi,accompany
差不多,chàbuduō,Almost
包子,bāozi,Steamed stuffed bun
著名,zhùmíng,famous
堵车,dǔchē,Traffic jam
免费,miǎnfèi,Free of charge
无论,wúlùn,no matter what
敢,gǎn,dare
入口,rùkǒu,Entrance
周围,zhōuwéi,around
稍微,shāowēi,slightly
表演,biǎoyǎn,perform
经历,jīnglì,experience
推迟,tuīchí,delay
购物,gòuwù,Shopping
首都,shǒudū,capital
尝,cháng,taste
浪费,làngfèi,Waste
感谢,gǎnxiè,Thank
丰富,fēngfù,rich
扔,rēng,throw
例如,lìrú,for example
故意,gùyì,deliberately
真正,zhēnzhèng,real
引起,yǐnqǐ,cause
阅读,yuèdú,Read
按时,ànshí,on time
收入,shōurù,income
省,shěng,province，save
糖,táng,sugar
师傅,shīfu,Master worker
生意,shēngyi,business
价格,jiàgé,Price
比如,bǐrú,such as
重点,zhòngdiǎn,key point/focus
醒,xǐng,wake up
普通话,pǔtōnghuà,Mandarin
目的,mùdì,objective
好处,hǎochù,benefit
咱们,zánmen,We
方法,fāngfǎ,Method
支持,zhīchí,Support
脱,tuō,take off
赚,zhuàn,earn
硕士,shuòshì,master
诚实,chéngshí,honest
之,zhī,of
排队,páiduì,queue; stand in a line
加油站,jiāyóuzhàn,Gas station
挂,guà,hang
镜子,jìngzi,Mirror
网球,wǎngqiú,Tennis
占线,zhànxiàn,(line) Busy
到底,dàodǐ,To the end
复杂,fùzá,complex
缺点,quēdiǎn,shortcoming
管理,guǎnlǐ,Administration
脾气,píqi,Bad temper
民族,mínzú,Nation
重新,chóngxīn,again
所有,suǒyǒu,All
小吃,xiǎochī,snack
偶尔,ǒu’ěr,occasionally
条件,tiáojiàn,condition
无聊,wúliáo,Boring
伤心,shāngxīn,Sad
祝贺,zhùhè,Congratulate
行,xíng,That’s ok
耐心,nàixīn,patience
计划,jìhuà,plan
烦恼,fánnǎo,annoyance
暖和,nuǎnhuo,warm
母亲,mǔqīn,mother
短信,duǎnxìn,Short message
说明,shuōmíng,Explain
同时,tóngshí,meanwhile
袜子,wàzi,Socks
刚,gāng,just
指,zhǐ,"finger, to point"
穷,qióng,poor
等 （动）,děng,Wait (verb)
厕所,cèsuǒ,Toilet
老虎,lǎohǔ,Tiger
辛苦,xīnkǔ,hard
收拾,shōushi,Tidy
登机牌,dēngjīpái,Boarding pass
毛,máo,hair
要是,yàoshi,If
友谊,yǒuyì,friendship
刀,dāo,knife
帅,shuài,Handsome
客厅,kètīng,A living room
公里,gōnglǐ,kilometre
照,zhào,reflect
提醒,tíxǐng,remind
正式,zhèngshì,formal
竞争,jìngzhēng,compete
抽烟,chōuyān,smoking
专门,zhuānmén,specialized
日记,rìjì,diary
