因为,yīnwèi,because
由于,yóuyú,because (formal)
既然,jìrán,since / now that
所以,suǒyǐ,therefore (logical result)
于是,yúshì,therefore (sequential/time-based)
才,cái,only then (delayed/difficult result)
就,jiù,right away (immediate/natural result)
和,hé,and (connects nouns/short phrases)
而且,érqiě,and also / furthermore
并且,bìngqiě,and also (formal/coordinated)
然后,ránhòu,and then (sequence)
接着,jiēzhe,next / to follow (casual/temporal)
虽然,suīrán,although
即使,jíshǐ,even if (hypothetical concession)
尽管,jǐngguǎn,even though (factual concession)
不管,bùguǎn,regardless / no matter (colloquial)
是否,shìfǒu,whether or not (placed after subject)
无论,wúlùn,no matter (formal; often A or B)
还是,háishi,still / or (logical choice)
仍然,réngrán,still (formal; unchanged state)
不但,búdàn,not only (shares same subject)
不仅,bùjǐn,not only (more formal than 不dan)
不光,bùguāng,not only / not just (least formal)
可是,kěshì,but (softer)
不过,búguò,but / however (soft but frequent)
但是,dànshì,but (standard)
然而,rán'ér,however (formal pivot)
却,què,but / yet (adverb; after subject)
不然,bùrán,otherwise (casual)
否则,fǒu zé,otherwise (formal)
竟然,jìngrán,unexpectedly / to one's surprise
实际上,shíjìshàng,actually / in reality (factual)
其实,qíshí,actually / as a matter of fact (common)
