迷路,mílù,Get lost
讨厌,tǎoyàn,Hate
猜,cāi,guess
压力,yālì,pressure
经济,jīngjì,Economics
研究,yánjiū,research
演员,yǎnyuán,"performer, actor"
尤其,yóuqí,especially
遍,biàn,Times
十分,shífēn,very
杂志,zázhì,Magazine
签证,qiānzhèng,visa
幽默,yōumò,Humor
以,yǐ,with
窗户,chuānghu,Window
呀,ya,ah
掉,diào,fall
动作,dòngzuò,action
降落,jiàngluò,land
其次,qícì,Secondly
沙发,shāfā,Sofa
值得,zhídé,Worth
停,tíng,Stop
兴奋,xīngfèn,Excitement
调查,diàochá,investigation
打针,dǎzhēn,To make an injection
实在,shízài,really
座位,zuòwèi,seat
当时,dāngshí,at that time
高速公路,gāosùgōnglù,Expressway
对话,duìhuà,dialogue
距离,jùlí,distance
来不及,láibují,There’s not enough time
打招呼,dǎzhāohu,Say hello
结果,jiéguǒ,Result
厉害,lìhai,Fierce
节约,jiéyuē,save
餐厅,cāntīng,Restaurant
肯定,kěndìng,sure
降低,jiàngdī,reduce
座,zuò,Seat
责任,zérèn,responsibility
左右 ,zuǒyòu,About
放弃,fàngqì,give up
生命,shēngmìng,life
美丽,měilì,beautiful
粗心,cūxīn,careless
弄,nòng,"get, make"
得意,déyì,Proud
肚子,dùzi,belly
网站,wǎngzhàn,website
打扰,dǎrǎo,Disturb
出生,chūshēng,Birth
可怜,kělián,Poor
保护,bǎohù,protect
礼拜天,lǐbàitiān,Sunday
污染,wūrǎn,contaminated
到处,dàochù,everywhere
讨论,tǎolùn,discuss
举办,jǔbàn,hold
意见,yìjiàn,Opinion
开心,kāixīn,Happy
好像,hǎoxiàng,"Be like, seem"
原因,yuányīn,Reason
职业,zhíyè,Occupation
熟悉,shúxī,be familiar with
提前,tíqián,in advance
棒 ,bàng,stick；excellent
付款,fùkuǎn,pay
孙子,sūnzi,Grandson
由,yóu,from
参观,cānguān,visit
愉快,yúkuài,Cheerful
挺,tǐng,quite
任何,rènhé,"whatever, any"
总结,zǒngjié,summary
复印,fùyìn,To copy
温度,wēndù,temperature
空气,kōngqì,air
原来,yuánlái,Original
从来,cónglái,Always
巧克力,qiǎokèlì,Chocolates
内,nèi,within
剩,shèng,Left
情况,qíngkuàng,Situation
理解,lǐjiě,Understand
判断,pànduàn,evaluate
大约,dàyuē,about
数字,shùzì,number
暂时,zànshí,temporary
关键,guānjiàn,key
干杯,gānbēi,Cheers!
梦,mèng,dream
假,jiǎ,false 
性别,xìngbié,Gender
确实,quèshí,Exactly
安排,ānpái,arrange
笑话,xiàohua,joke
台,tái,platform
改变,gǎibiàn,change
