同学,tóngxué,classmate
朋友,péngyǒu,friend
医生,yīshēng,doctor
先生,xiānsheng,sir
小姐,xiǎojiě,Miss
衣服,yīfu,cloth
水,shuǐ,water
菜,cài,dish
米饭,mǐfàn,rice
水果,shuǐguǒ,fruit
苹果,píngguǒ,apple
茶,chá,tea
杯子,bēizi,cup
钱,qián,money
飞机,fēijī,airplane
出租车,chūzūchē,taxi
电视,diànshì,television
电脑,diànnǎo,computer
电影,diànyǐng,movie
天气,tiānqì,weather
猫,māo,cat
狗,gǒu,dog
东西,dōngxi,thing
人,rén,person
名字,míngzi,name
课,kè,lesson
姓,xìng,surname
问题,wèntí,question
事情,shìqing,matter
考试,kǎoshì,exam
票,piào,ticket
意思,yìsi,meaning
颜色,yánsè,color
铅笔,qiánbǐ,pencil
面条,miàntiáo,noodle
火车站,huǒchēzhàn,train station
公司,gōngsī,company
宾馆,bīngguǎn,hotel
说话,shuōhuà,talk
卖,mài,sell
问,wèn,ask
走,zǒu,walk
进,jìn,enter
出,chū,come
跑步,pǎobù,run
到,dào,arrive
穿,chuān,wear
洗,xǐ,wash
给,gěi,give
找,zhǎo,find
聊天,liáotiān,chat
练习,liànxí,Practice
辆,liàng,Car
了解,liǎojiě,understand
邻居,línjū,neighbor
留学,liúxué,Overseas Study
楼,lóu,floor
绿,lǜ,green
马,mǎ,Horse
马上,mǎshàng,Right off
满意,mǎnyì,Satisfied
帽子,màozi,Hat
米,mǐ,rice
面包,miànbāo,Bread
明白,míngbai,clear
拿,ná,take
奶奶,nǎinai,grandma
南,nán,south
难,nán,difficult
难过,nánguò,sad
年级,niánjí,grade
年轻,niánqīng,Young
鸟,niǎo,bird
努力,nǔlì,Strive
爬山,páshān,Mountain climbing
盘子,pánzi,plate
胖,pàng,fat
啤酒,píjiǔ,Beer
皮鞋,píxié,leather shoes
瓶子,píngzi,bottle
其实,qíshí,actually
其他,qítā,Other
骑,qí,ride
奇怪,qíguài,strange
起来,qǐlái,get up
起飞,qǐfēi,take off
清楚,qīngchu,clear
请假,qǐngjià,ask for leave
秋,qiū,autumn
裙子,qúnzi,skirt
然后,ránhòu,Then
热情,rèqíng,Enthusiasm
认为,rènwéi,think
认真,rènzhēn,earnest
容易,róngyì,easily
如果,rúguǒ,If
伞,sǎn,umbrella
上网,shàngwǎng,Surf the Internet
生气,shēngqì,get angry
声音,shēngyīn,voice
