重视,zhòngshì,"importance, attach importance to"
感情,gǎnqíng,feeling
不仅,bùjǐn,not only
正确,zhèngquè,Correct
不管,bùguǎn,no matter
赶,gǎn,catch up with
地点,dìdiǎn,location
礼貌,lǐmào,politeness
趟,tàng,Trip
同情,tóngqíng,Sympathy
逛,guàng,Stroll
其中,qízhōng,among
自然,zìrán,natural
倒,dào,inverted
究竟,jiūjìng,exactly
道歉,dàoqiàn,apologize
答案,dá’àn,Answer
演出,yǎnchū,show
地球,dìqiú,earth
减少,jiǎnshǎo,reduce
科学,kēxué,science
表格,biǎogé,form
材料,cáiliào,Material Science
赢,yíng,win
倍,bèi,times
聚会,jùhuì,Party
够,gòu,enough
内容,nèiróng,content
传真,chuánzhēn,Fax
印象,yìnxiàng,impression
基础,jīchǔ,Basics
增加,zēngjiā,increase
适应,shìyìng,Adapt
学期,xuéqī,Semester
邀请,yāoqǐng,Invitation
作家,zuòjiā,writer
出差,chūchāi,A business travel
适合,shìhé,Fit
汤,tāng,soup
专业,zhuānyè,major
直接,zhíjiē,direct
发生,fāshēng,Happen
酸,suān,acid
交通,jiāotōng,traffic
方面,fāngmiàn,Aspect
航班,hángbān,flight
艺术,yìshù,Art
吸引,xīyǐn,Attract
另外,lìngwài,in addition
抬,tái,Lift
提,tí,carry
来得及,láidejí,In time
困,kùn,sleepy
大夫,dàifu,Doctor
是否,shìfǒu,Whether
大使馆,dàshǐguǎn,Embassy
数量,shùliàng,Number
打印,dǎyìn,Print
破,pò,broken
脏,zāng,dirty
百分之 ,bǎifēnzhī,percent
共同,gòngtóng,common
失败,shībài,fail
眼镜,yǎnjìng,glasses
存,cún,Deposit
优秀,yōuxiù,excellent
只要,zhǐyào,as long as
小伙子,xiǎohuǒzi,Young fellow
难道,nándào,could it be said that …
作用,zuòyòng,role something has
将来,jiānglái,future
乱,luàn,chaos
积累,jīlěi,accumulation
自信,zìxìn,self-confidence
场,chǎng,site
样子,yàngzi,A look
盐,yán,salt
郊区,jiāoqū,Suburb
失望,shīwàng,Disappointment
却,què,but
举,jǔ,lift
富,fù,rich
乒乓球,pīngpāngqiú,Table Tennis
交流,jiāoliú,Communication
博士,bóshì,doctor
节,jié,"section, festival"
使用,shǐyòng,Use
果汁,guǒzhī,fruit juice
推,tuī,push
随便,suíbiàn,casual
轻松,qīngsōng,Relaxed
放暑假,fàngshǔjià,summer vacation
热闹,rènao,lively
轻,qīng,light
转,zhuàn,turn
秒,miǎo,second
满,mǎn,full
普遍,pǔbiàn,universal
葡萄,pútao,Grape
消息,xiāoxi,message
