xué, 学
zhōng wén, 中文
nán, 难
bù, 不
yě, 也
wèi shén me, 为什么
zhè yàng, 这样
shuō, 说
ne, 呢
yīn wèi, 因为
rèn hé, 任何
yì zhǒng, 一种
yǔ yán, 语言
dōu, 都
yào, 要
tīng, 听
dú, 读
xiě, 写
fā yīn, 发音
yǔ fǎ, 语法
jì, 记
dān cí, 单词
yǒu rén, 有人
hàn zì, 汉字
bú shì, 不是
yòng, 用
zì mǔ, 字母
pīn xiě, 拼写
de, 的
suǒ yǐ, 所以
bú dàn, 不但
rèn, 认
ér qiě, 而且
niàn, 念
qí shí, 其实
zhè, 这
yí dìng, 一定
yǒu, 有
xǔ duō, 许多
wǒ men, 我们
kě yǐ, 可以
cóng, 从
piān páng, 偏旁
shàng, 上
kàn chū, 看出
tā, 它
yì si, 意思
shēng yīn, 声音
yǒu shí hou, 有时候
huì, 会
jué de, 觉得
hěn, 很
róng yì, 容易
yí dìng yào, 一定要
xiān, 先
hàn yǔ pīn yīn, 汉语拼音
pīn yīn, 拼音
bāng zhù, 帮助
liàn xí, 练习
shí hou, 时候
tè bié, 特别
zhù yì, 注意
shēng diào, 声调
lǐ miàn, 里面
tóng yàng, 同样
zì yīn, 字音
bù tóng, 不同
jiù, 就
yí yàng, 一样
hái yǒu, 还有
xiē, 些
zì, 字
jù zi, 句子
lǐ, 里
hé, 和
bié de, 别的
yì qǐ, 一起
biàn huà, 变化
lì rú, 例如
bù hǎo, 不好
dì sì shēng, 第四声
bú huì, 不会
dì èr shēng, 第二声
le, 了
hái, 还
chá, 查
zì diǎn, 字典
xiàn zài, 现在
chà bu duō, 差不多
pái liè, 排列
xué shēng, 学生
xǐ huan, 喜欢
diàn nǎo, 电脑
zuò, 做
zuò yè, 作业
ruǎn jiàn, 软件
shū rù, 输入
suī rán, 虽然
wǔ wàn liù qiān duō, 五万六千多
gè, 个
dàn shì, 但是
cháng yòng, 常用
zhǐ yǒu, 只有
sān qiān wǔ bǎi, 三千五百
xué huì, 学会
cháng yòng zì, 常用字
kàn dǒng, 看懂
jiǎn dān, 简单
bào zhǐ, 报纸
shū, 书
yì xiē, 一些
wén zhāng, 文章
